Winner,Loser,Date,PD,Location,Loc,winScore,loseScore,winID,loseID,GameType
Hancock County,Adair County,01/17/20,17,Hancock County,1,70,53,110,1,0
Hazard,Buckhorn,01/17/20,26,Hazard,1,76,50,115,33,0
Henderson County,Union County,01/17/20,6,Henderson County,1,62,56,116,250,0
Henry County,Trimble County,01/17/20,24,Henry County,1,96,72,118,247,0
Holmes,Scott,01/17/20,7,Holmes,1,80,73,123,223,0
Hopkins County Central,Trigg County,01/17/20,13,Trigg County,0,72,59,126,246,0
Jackson City,Jenkins,01/17/20,27,Jenkins,0,108,81,129,132,0
Lafayette,Hart County,01/17/20,30,Hart County,0,68,38,140,114,0
Lincoln County,Boyle County,01/17/20,30,Boyle County,0,79,49,149,27,0
Madison Southern,Garrard County,01/17/20,21,Madison Southern,1,80,59,158,100,0
Marshall County,Graves County,01/17/20,36,Marshall County,1,75,39,163,104,0
McCracken County,Paducah Tilghman,01/17/20,19,Paducah Tilghman,0,58,39,167,197,0
Mercer County,Corbin,01/17/20,6,Mercer County,1,69,63,172,59,0
North Hardin,Breckinridge County,01/17/20,14,North Hardin,1,68,54,187,30,0
North Laurel,Jackson County,01/17/20,48,North Laurel,1,82,34,188,130,0
Ohio County,Daviess County,01/17/20,13,Ohio County,1,81,68,190,67,0
Oldham County,South Oldham,01/17/20,5,South Oldham,0,64,59,191,232,0
Oneida Baptist Institute,Wolfe County,01/17/20,14,Oneida Baptist Institute,1,79,65,192,270,0
Owensboro,Muhlenberg County,01/17/20,4,Owensboro,1,59,55,194,180,0
Owensboro Catholic,Apollo,01/17/20,2,Apollo,0,73,71,195,4,0
Owsley County,Lee County,01/17/20,11,Lee County,0,76,65,196,143,0
Pendleton County,Dayton,01/17/20,26,Dayton,0,72,46,201,69,0
Pulaski County,Southwestern,01/17/20,5,Pulaski County,1,69,64,211,235,0
Rockcastle County,Casey County,01/17/20,12,Casey County,0,72,60,215,46,0
Russell,Fairview,01/17/20,20,Fairview,0,61,41,218,85,0
Simon Kenton,Dixie Heights,01/17/20,12,Simon Kenton,1,78,66,229,71,0
South Laurel,Barbourville,01/17/20,10,South Laurel,1,70,60,231,10,0
South Warren,Christian County,01/17/20,7,South Warren,1,57,50,233,51,0
Walden,Frankfort Christian,01/17/20,51,Frankfort Christian,0,76,25,255,92,0
Walton-Verona,Bracken County,01/17/20,27,Walton-Verona,1,91,64,256,28,0
Wayne County,McCreary Central,01/17/20,0.5,McCreary Central,0,71,64,260,168,0
Webster County,Hopkinsville,01/17/20,4,Webster County,1,68,64,261,127,0
Whitley County,Owen County,01/17/20,0.5,Owen County,0,62,54,267,193,0
Woodford County,Anderson County,01/17/20,15,Anderson County,0,49,34,271,3,0
Frankfort,Lexington Christian,01/18/20,2,Neutral,2,41,39,91,148,2
Paintsville,Phelps,01/18/20,3,Neutral,2,31,28,198,203,2
Shelby Valley,Pikeville,01/18/20,14,Neutral,2,66,52,228,205,2
Murray,Mayfield,01/18/20,8,Mayfield,0,67,59,181,166,2
University Heights,Caldwell County,01/18/20,8,Neutral,2,69,61,251,39,2
Holy Cross (Louisville),Shawnee,01/18/20,20,Neutral,2,67,47,125,226,2
St. Henry,Beechwood,01/18/20,3,St. Henry,1,49,46,238,14,2
Marshall County,OUT_STATE,01/18/20,12,Marshall County,1,79,67,163,0,0
Lincoln County,Cordia,01/18/20,23,Neutral,2,86,63,149,60,0
Logan County,Madison Southern,01/18/20,7,Neutral,2,65,58,152,158,0
Bourbon County,Lexington Catholic,01/18/20,5,Neutral,2,71,66,24,147,0
John Hardin,Warren Central,01/18/20,38,Neutral,2,85,47,133,257,0
George Rogers Clark,Breathitt County,01/18/20,0.5,George Rogers Clark,1,77,74,101,29,0
Ballard,Fern Creek,01/18/20,6,Neutral,2,57,51,8,86,0
Ashland Blazer,Mason County,01/18/20,1,Mason County,0,66,65,5,165,0
Bath County,Raceland,01/18/20,15,Bath County,1,71,56,13,212,0
Bethlehem,Washington County,01/18/20,4,Bethlehem,1,46,42,20,259,0
Boyd County,OUT_STATE,01/18/20,12,Boyd County,1,72,60,26,0,0
Bryan Station,Knox Central,01/18/20,0.5,Bryan Station,1,70,69,32,139,0
Bullitt Central,Nelson County,01/18/20,25,Bullitt Central,1,67,42,34,182,0
Butler County,St. Francis,01/18/20,27,St. Francis,0,86,59,38,237,0
Carroll County,Iroquois,01/18/20,9,Carroll County,1,68,59,45,128,0
Christian Fellowship,OUT_STATE,01/18/20,20,Christian Fellowship,1,51,31,52,0,0
Conner,Grant County,01/18/20,16,Grant County,0,75,59,57,103,0
Covington Catholic,Paul Laurence Dunbar,01/18/20,23,Covington Catholic,1,77,54,61,200,0
Danville Christian,Heritage Academy,01/18/20,13,Danville Christian,1,77,64,66,119,0
Edmonson County,Frederick Fraize,01/18/20,25,Edmonson County,1,70,45,78,96,0
Fairview,OUT_STATE,01/18/20,9,Fairview,1,65,56,85,0,0
Floyd Central,Letcher County Central,01/18/20,0.5,Floyd Central,1,60,57,88,145,0
Franklin County,Nicholas County,01/18/20,19,Franklin County,1,62,43,93,185,0
Gallatin County,Anderson County,01/18/20,8,Anderson County,0,55,47,99,3,0
Greenup County,OUT_STATE,01/18/20,10,OUT_STATE,0,74,64,108,0,0
Harlan County,Harlan,01/18/20,8,Harlan County,1,79,71,112,111,0
Henry County,Frankfort Christian,01/18/20,51,Frankfort Christian,0,66,15,118,92,0
Highlands,Campbell County,01/18/20,17,Highlands,1,71,54,121,42,0
Hopkinsville,South Warren,01/18/20,6,Hopkinsville,1,70,64,127,233,0
OUT_STATE,Boone County,01/18/20,17,OUT_STATE,1,68,51,0,23,0
Johnson Central,Rose Hill Christian,01/18/20,27,Johnson Central,1,73,46,134,216,0
LaRue County,Scott County,01/18/20,1,Scott County,0,71,70,141,224,0
Leslie County,Pike County Central,01/18/20,6,Pike County Central,0,71,65,144,204,0
Ludlow,Harrison County,01/18/20,20,Ludlow,1,63,43,154,113,0
Madison Central,Great Crossing,01/18/20,4,Madison Central,1,54,50,157,106,0
Madisonville-North Hopkins,Henderson County,01/18/20,8,Henderson County,0,56,48,159,116,0
McLean County,OUT_STATE,01/18/20,13,OUT_STATE,0,66,53,169,0,0
Metcalfe County,Adair County,01/18/20,9,Metcalfe County,1,69,60,173,1,0
North Oldham,Shelby County,01/18/20,44,North Oldham,1,82,38,189,227,0
Pendleton County,Fleming County,01/18/20,5,Pendleton County,1,55,50,201,87,0
Perry County Central,North Laurel,01/18/20,11,Perry County Central,1,76,65,202,188,0
Pineville,OUT_STATE,01/18/20,11,OUT_STATE,0,84,73,206,0,0
Russellville,Trinity (Whitesville),01/18/20,2,Russellville,1,50,48,220,249,0
St. Patrick,Covington Latin,01/18/20,52,Covington Latin,0,83,31,240,62,0
Tates Creek,Southwestern,01/18/20,5,Southwestern,0,65,60,242,235,0
Todd County Central,OUT_STATE,01/18/20,19,Todd County Central,1,66,47,245,0,0
Trigg County,Community Christian (Paducah),01/18/20,29,Community Christian (Paducah),0,71,42,246,56,0
Webster County,OUT_STATE,01/18/20,33,OUT_STATE,0,85,52,261,0,0
OUT_STATE,Burgin,01/18/20,14,Burgin,0,66,52,0,36,0
Williamsburg,Jackson County,01/18/20,23,Jackson County,0,83,60,268,130,0
Paintsville,Shelby Valley,01/19/20,2,Neutral,2,57,55,198,228,2
John Hardin,Bourbon County,01/19/20,20,Neutral,2,73,53,133,24,0
Covington Catholic,OUT_STATE,01/19/20,7,Neutral,2,69,62,61,0,0
Marshall County,Fulton City,01/20/20,32,Marshall County,1,81,49,163,97,0
OUT_STATE,Graves County,01/20/20,12,Neutral,2,42,30,0,104,0
OUT_STATE,Community Christian (Paducah),01/20/20,9,OUT_STATE,1,56,47,0,56,0
Ashland Blazer,Rose Hill Christian,01/20/20,40,Rose Hill Christian,0,86,46,5,216,0
Barren County,Monroe County,01/20/20,2,Monroe County,0,47,45,12,176,0
Bowling Green,Warren Central,01/20/20,17,Bowling Green,1,79,62,25,257,0
Calloway County,St. Mary,01/20/20,10,St. Mary,0,55,45,40,239,0
Grant County,Calvary Christian,01/20/20,37,Grant County,1,87,50,103,41,0
Heritage Academy,Bellevue,01/20/20,9,Bellevue,0,80,71,119,17,0
Johnson Central,Magoffin County,01/20/20,13,Magoffin County,0,66,53,134,160,0
Knott County Central,Floyd Central,01/20/20,5,Floyd Central,0,59,54,138,88,0
Knox Central,Lynn Camp,01/20/20,7,Lynn Camp,0,65,58,139,155,0
Lafayette,Green County,01/20/20,22,Green County,0,67,45,140,107,0
Leslie County,Lee County,01/20/20,33,Leslie County,1,80,47,144,143,0
Ludlow,Villa Madonna,01/20/20,10,Ludlow,1,49,39,154,253,0
Madisonville-North Hopkins,Lyon County,01/20/20,7,Lyon County,0,71,64,159,156,0
Mercer County,Burgin,01/20/20,33,Burgin,0,73,40,172,36,0
Middlesboro,OUT_STATE,01/20/20,36,OUT_STATE,0,72,36,174,0,0
Newport Central Catholic,Dayton,01/20/20,24,Dayton,0,69,45,184,69,0
Owensboro Catholic,Butler County,01/20/20,10,Owensboro Catholic,1,66,56,195,38,0
Pulaski County,Clay County,01/20/20,5,Pulaski County,1,78,73,211,53,0
Rockcastle County,Barbourville,01/20/20,22,Rockcastle County,1,76,54,215,10,0
South Laurel,Harlan,01/20/20,14,Harlan,0,74,60,231,111,0
Western Hills,OUT_STATE,01/20/20,16,Western Hills,1,68,52,265,0,0
Woodford County,Walton-Verona,01/20/20,3,Walton-Verona,0,74,71,271,256,0
OUT_STATE,Corbin,01/21/20,3,Corbin,0,69,66,0,59,0
Ashland Blazer,Greenup County,01/21/20,24,Greenup County,0,72,48,5,108,0
Ballard,Waggener,01/21/20,16,Ballard,1,89,73,8,254,0
Bardstown,Central Hardin,01/21/20,30,Central Hardin,0,76,46,11,49,0
Barren County,Ohio County,01/21/20,2,Barren County,1,63,61,12,190,0
Beechwood,Newport,01/21/20,8,Newport,0,66,58,14,183,0
Berea,Jackson County,01/21/20,8,Berea,1,63,55,18,130,0
Bowling Green,Christian County,01/21/20,14,Bowling Green,1,64,50,25,51,0
Bracken County,Dayton,01/21/20,5,Bracken County,1,79,74,28,69,0
Breckinridge County,Apollo,01/21/20,3,Apollo,0,66,63,30,4,0
Bryan Station,Sayre,01/21/20,4,Sayre,0,64,60,32,222,0
Bullitt East,Whitefield Academy,01/21/20,34,Whitefield Academy,0,90,56,35,266,0
Burgin,Frankfort Christian,01/21/20,47,Burgin,1,61,14,36,92,0
Butler,Fairdale,01/21/20,21,Fairdale,0,80,59,37,84,0
Butler County,Hancock County,01/21/20,5,Butler County,1,62,57,38,110,0
Caldwell County,Trigg County,01/21/20,9,Trigg County,0,82,73,39,246,0
Calvary Christian,Scott,01/21/20,4,Calvary Christian,1,55,51,41,223,0
Carroll County,Owen County,01/21/20,4,Owen County,0,55,51,45,193,0
Caverna,Washington County,01/21/20,1,Caverna,1,66,65,47,259,0
Central,Atherton,01/21/20,9,Atherton,0,65,56,48,6,0
Christian Academy-Louisville,Spencer County,01/21/20,5,Christian Academy-Louisville,1,78,73,50,236,0
Christian Fellowship,Ballard Memorial,01/21/20,12,Christian Fellowship,1,56,44,52,9,0
Clinton County,Russell County,01/21/20,19,Clinton County,1,60,41,54,219,0
Collins,Boyle County,01/21/20,34,Collins,1,73,39,55,27,0
Crittenden County,OUT_STATE,01/21/20,3,OUT_STATE,0,64,61,63,0,0
Daviess County,Meade County,01/21/20,3,Daviess County,1,69,66,67,170,0
DeSales,Bullitt Central,01/21/20,3,DeSales,1,68,65,70,34,0
DuPont Manual,Brown,01/21/20,39,DuPont Manual,1,76,37,73,31,0
Elizabethtown,John Hardin,01/21/20,7,Elizabethtown,1,81,74,79,133,0
Elliott County,Morgan County,01/21/20,12,Morgan County,0,62,50,80,179,0
Estill County,Owsley County,01/21/20,15,Estill County,1,68,53,82,196,0
Evangel Christian,Portland Christian,01/21/20,0.5,Evangel Christian,1,77,72,83,208,0
Fairview,Rose Hill Christian,01/21/20,33,Rose Hill Christian,0,79,46,85,216,0
Fort Knox,Frederick Fraize,01/21/20,17,Frederick Fraize,0,66,49,90,96,0
Franklin County,Shelby County,01/21/20,15,Franklin County,1,64,49,93,227,0
Frederick Douglass,Paul Laurence Dunbar,01/21/20,5,Paul Laurence Dunbar,0,61,56,95,200,0
Fulton County,Hickman County,01/21/20,19,Fulton County,1,75,56,98,120,0
Gallatin County,Trimble County,01/21/20,10,Trimble County,0,70,60,99,247,0
George Rogers Clark,Bourbon County,01/21/20,12,George Rogers Clark,1,77,65,101,24,0
Greenwood,Franklin-Simpson,01/21/20,3,Greenwood,1,54,51,109,94,0
Harlan County,Bell County,01/21/20,5,Harlan County,1,62,57,112,16,0
Henderson County,OUT_STATE,01/21/20,9,Henderson County,1,64,55,116,0,0
Henry Clay,Tates Creek,01/21/20,14,Tates Creek,0,66,52,117,242,0
Highlands,Boone County,01/21/20,29,Highlands,1,88,59,121,23,0
Holy Cross (Covington),Campbell County,01/21/20,0.5,Holy Cross (Covington),1,85,83,124,42,0
Hopkins County Central,Union County,01/21/20,0.5,Union County,0,72,70,126,250,0
Hopkinsville,Fort Campbell,01/21/20,36,Fort Campbell,0,76,40,127,89,0
Jackson City,Lee County,01/21/20,19,Jackson City,1,93,74,129,143,0
Jeffersontown,Western,01/21/20,30,Jeffersontown,1,81,51,131,264,0
Kentucky Country Day,Shawnee,01/21/20,9,Shawnee,0,73,64,136,226,0
Letcher County Central,Buckhorn,01/21/20,9,Letcher County Central,1,80,71,145,33,0
Lewis County,Boyd County,01/21/20,2,Lewis County,1,66,64,146,26,0
Lexington Catholic,East Jessamine,01/21/20,21,East Jessamine,0,57,36,147,75,0
Lincoln County,Garrard County,01/21/20,34,Garrard County,0,65,31,149,100,0
Logan County,Warren East,01/21/20,33,Logan County,1,76,43,152,258,0
OUT_STATE,Highlands Latin      ,01/21/20,9,OUT_STATE,1,67,58,0,122,0
Madison Central,West Jessamine,01/21/20,7,Madison Central,1,74,67,157,263,0
Madisonville-North Hopkins,Dawson Springs,01/21/20,34,Madisonville-North Hopkins,1,86,52,159,68,0
Male,Eastern,01/21/20,6,Eastern,0,61,55,161,77,0
Marion County,Adair County,01/21/20,12,Marion County,1,63,51,162,1,0
Mason County,Augusta,01/21/20,6,Augusta,0,60,54,165,7,0
Menifee County,Powell County,01/21/20,16,Powell County,0,65,49,171,209,0
Middlesboro,Leslie County,01/21/20,24,Middlesboro,1,68,44,174,144,0
Montgomery County,Madison Southern,01/21/20,7,Montgomery County,1,73,66,177,158,0
Muhlenberg County,Trinity (Whitesville),01/21/20,27,Muhlenberg County,1,70,43,180,249,0
Nelson County,Thomas Nelson,01/21/20,14,Nelson County,1,58,44,182,244,0
North Oldham,Anderson County,01/21/20,43,North Oldham,1,74,31,189,3,0
Owensboro,Grayson County,01/21/20,11,Grayson County,0,57,46,194,105,0
Paris,Fleming County,01/21/20,16,Paris,1,69,53,199,87,0
Pendleton County,St. Patrick,01/21/20,13,St. Patrick,0,63,50,201,240,0
Perry County Central,Wolfe County,01/21/20,1,Perry County Central,1,69,68,202,270,0
Pleasure Ridge Park,Moore,01/21/20,12,Pleasure Ridge Park,1,84,72,207,178,0
Pulaski County,Casey County,01/21/20,31,Pulaski County,1,82,51,211,46,0
Robertson County,Nicholas County,01/21/20,28,Robertson County,1,93,65,214,185,0
Rowan County,West Carter,01/21/20,20,Rowan County,1,65,45,217,262,0
Ryle,Holmes,01/21/20,5,Holmes,0,61,56,221,123,0
Shelby Valley,Pikeville,01/21/20,25,Shelby Valley,1,67,42,228,205,0
Simon Kenton,Williamstown,01/21/20,42,Simon Kenton,1,78,36,229,269,0
South Oldham,North Bullitt,01/21/20,47,South Oldham,1,98,51,232,186,0
St. Mary,Community Christian (Paducah),01/21/20,17,Community Christian (Paducah),0,61,44,239,56,0
Taylor County,Hart County,01/21/20,11,Hart County,0,79,68,243,114,0
Todd County Central,Russellville,01/21/20,3,Todd County Central,1,65,62,245,220,0
Valley,Iroquois,01/21/20,6,Valley,1,62,56,252,128,0
Walden,Beth Haven,01/21/20,1,Beth Haven,0,89,88,255,19,0
Warren Central,South Warren,01/21/20,16,Warren Central,1,61,45,257,233,0
Wayne County,Rockcastle County,01/21/20,21,Rockcastle County,0,72,51,260,215,0
Webster County,McLean County,01/21/20,20,McLean County,0,65,45,261,169,0
Western Hills,Model,01/21/20,1,Western Hills,1,48,47,265,175,0
Whitley County,Pineville,01/21/20,14,Whitley County,1,67,53,267,206,0
Williamsburg,OUT_STATE,01/21/20,15,Williamsburg,1,93,78,268,0,0
Frederick Douglass,Thomas Nelson,01/22/20,33,Neutral,2,84,51,95,244,0
LaRue County,Great Crossing,01/22/20,1,Neutral,2,57,56,141,106,0
Buckhorn,Breathitt County,01/22/20,11,Buckhorn,1,72,61,33,29,0
Conner,Cooper,01/22/20,25,Cooper,0,62,37,57,58,0
Fern Creek,Moore,01/22/20,22,Fern Creek,1,89,67,86,178,0
OUT_STATE,Dixie Heights,01/22/20,13,Dixie Heights,0,78,65,0,71,0
Ludlow,Carroll County,01/22/20,1,Ludlow,1,60,59,154,45,0
Magoffin County,Morgan County,01/22/20,10,Morgan County,0,63,53,160,179,0
Male,Valley,01/22/20,38,Male,1,78,40,161,252,0
Martin County,Floyd Central,01/22/20,22,Floyd Central,0,69,47,164,88,0
Newport,Bellevue,01/22/20,41,Bellevue,0,84,43,183,17,0
Rowan County,Lewis County,01/22/20,20,Rowan County,1,68,48,217,146,0
Shawnee,Walden,01/22/20,3,Walden,0,66,63,226,255,0
Trinity (Louisville),Bryan Station,01/22/20,15,Bryan Station,0,66,51,248,32,0
Frankfort,Bishop Brossart,01/23/20,5,Neutral,2,57,52,91,22,0
Hazard,Louisville Collegiate,01/23/20,3,Neutral,2,42,39,115,153,0
Metcalfe County,Holy Cross (Louisville),01/23/20,1,Neutral,2,48,47,173,125,0
Murray,University Heights,01/23/20,27,Neutral,2,60,33,181,251,0
Owensboro Catholic,West Carter,01/23/20,29,Neutral,2,62,33,195,262,0
Paintsville,Harlan,01/23/20,7,Neutral,2,67,60,198,111,0
Somerset,Gallatin County,01/23/20,9,Neutral,2,46,37,230,99,0
St. Henry,Campbellsville,01/23/20,29,Neutral,2,78,49,238,43,0
OUT_STATE,Kentucky School f/t Deaf,01/23/20,45,Neutral,2,65,20,0,137,0
Bell County,Oneida Baptist Institute,01/23/20,22,Bell County,1,68,46,16,192,0
Graves County,OUT_STATE,01/23/20,55,Neutral,2,85,30,104,0,0
Marion County,Wayne County,01/23/20,10,Neutral,2,94,84,162,260,0
Scott County,OUT_STATE,01/23/20,45,Neutral,2,94,49,224,0,0
Atherton,Portland Christian,01/23/20,32,Atherton,1,66,34,6,208,0
Barbourville,Pineville,01/23/20,9,Pineville,0,64,55,10,206,0
Beechwood,OUT_STATE,01/23/20,42,Beechwood,1,89,47,14,0,0
Bourbon County,Model,01/23/20,24,Bourbon County,1,80,56,24,175,0
Calvary Christian,Villa Madonna,01/23/20,20,Villa Madonna,0,70,50,41,253,0
Central Hardin,Fort Knox,01/23/20,16,Central Hardin,1,79,63,49,90,0
Christian Fellowship,Livingston Central,01/23/20,11,Christian Fellowship,1,70,59,52,150,0
Dayton,Heritage Academy,01/23/20,30,Dayton,1,77,47,69,119,0
DeSales,Doss,01/23/20,3,Doss,0,48,45,70,72,0
Eminence,Burgin,01/23/20,4,Eminence,1,51,47,81,36,0
Green County,Caverna,01/23/20,24,Green County,1,67,43,107,47,0
Hart County,Nelson County,01/23/20,14,Hart County,1,75,61,114,182,0
Johnson Central,East Ridge,01/23/20,25,East Ridge,0,87,62,134,76,0
Knott County Central,Letcher County Central,01/23/20,9,Knott County Central,1,65,56,138,145,0
Lafayette,Adair County,01/23/20,25,Lafayette,1,71,46,140,1,0
Lexington Catholic,Paul Laurence Dunbar,01/23/20,17,Paul Laurence Dunbar,0,84,67,147,200,0
Montgomery County,Bath County,01/23/20,0.5,Bath County,0,70,67,177,13,0
North Bullitt,Franklin County,01/23/20,25,North Bullitt,1,83,58,186,93,0
Pike County Central,Jenkins,01/23/20,46,Pike County Central,1,66,20,204,132,0
OUT_STATE,St. Francis,01/23/20,40,OUT_STATE,1,70,30,0,237,0
Seneca,Eastern,01/23/20,11,Eastern,0,70,59,225,77,0
South Laurel,Whitley County,01/23/20,13,South Laurel,1,51,38,231,267,0
Southwestern,McCreary Central,01/23/20,7,McCreary Central,0,47,40,235,168,0
Walton-Verona,Henry County,01/23/20,14,Walton-Verona,1,86,72,256,118,0
Whitefield Academy,Evangel Christian,01/23/20,37,Evangel Christian,0,77,40,266,83,0
Frankfort,Owensboro Catholic,01/24/20,8,Neutral,2,63,55,91,195,0
Hazard,Paintsville,01/24/20,9,Neutral,2,48,39,115,198,0
Murray,Metcalfe County,01/24/20,12,Neutral,2,67,55,181,173,0
St. Henry,Somerset,01/24/20,1,Neutral,2,51,50,238,230,0
OUT_STATE,Kentucky School f/t Deaf,01/24/20,21,Neutral,2,48,27,0,137,0
Southwestern,Bell County,01/24/20,0.5,Bell County,0,45,43,235,16,0
Frederick Douglass,LaRue County,01/24/20,1,Neutral,2,87,86,95,141,0
Great Crossing,Thomas Nelson,01/24/20,18,Neutral,2,67,49,106,244,0
Scott County,Marion County,01/24/20,11,Neutral,2,67,56,224,162,0
Wayne County,OUT_STATE,01/24/20,28,Neutral,2,97,69,260,0,0
Ballard,St. Xavier,01/24/20,43,Ballard,1,85,42,8,241,0
Barren County,Allen County-Scottsville,01/24/20,12,Barren County,1,57,45,12,2,0
Beth Haven,Frederick Fraize,01/24/20,13,Frederick Fraize,0,80,67,19,96,0
Bethlehem,Frankfort Christian,01/24/20,52,Frankfort Christian,0,72,20,20,92,0
Betsy Layne,Floyd Central,01/24/20,30,Betsy Layne,1,83,53,21,88,0
Bowling Green,Warren East,01/24/20,29,Warren East,0,70,41,25,258,0
Boyle County,Garrard County,01/24/20,9,Garrard County,0,72,63,27,100,0
Breckinridge County,Grayson County,01/24/20,18,Breckinridge County,1,57,39,30,105,0
Buckhorn,Leslie County,01/24/20,0.5,Buckhorn,1,81,72,33,144,0
Bullitt East,Bullitt Central,01/24/20,7,Bullitt East,1,52,45,35,34,0
Butler,Moore,01/24/20,3,Butler,1,65,62,37,178,0
Butler County,Trinity (Whitesville),01/24/20,5,Trinity (Whitesville),0,63,58,38,249,0
Campbell County,Harrison County,01/24/20,25,Harrison County,0,62,37,42,113,0
Carlisle County,Fulton County,01/24/20,0.5,Carlisle County,1,59,56,44,98,0
Christian County,Hopkinsville,01/24/20,15,Christian County,1,67,52,51,127,0
Collins,Anderson County,01/24/20,5,Collins,1,41,36,55,3,0
Conner,OUT_STATE,01/24/20,10,OUT_STATE,0,72,62,57,0,0
Cooper,Boone County,01/24/20,10,Boone County,0,52,42,58,23,0
Covington Catholic,Holmes,01/24/20,35,Holmes,0,74,39,61,123,0
Crittenden County,Fort Campbell,01/24/20,8,Crittenden County,1,64,56,63,89,0
Dawson Springs,Trigg County,01/24/20,3,Trigg County,0,62,59,68,246,0
Doss,North Bullitt,01/24/20,6,North Bullitt,0,58,52,72,186,0
East Jessamine,Carroll County,01/24/20,16,East Jessamine,1,66,50,75,45,0
Edmonson County,Russellville,01/24/20,7,Edmonson County,1,67,60,78,220,0
Fern Creek,Seneca,01/24/20,8,Fern Creek,1,53,45,86,225,0
Fulton City,Hickman County,01/24/20,4,Hickman County,0,64,60,97,120,0
George Rogers Clark,Scott,01/24/20,13,Scott,0,69,56,101,223,0
Grant County,Simon Kenton,01/24/20,4,Grant County,1,74,70,103,229,0
Hancock County,Meade County,01/24/20,0.5,Hancock County,1,65,62,110,170,0
Harlan County,Corbin,01/24/20,7,Corbin,0,74,67,112,59,0
Hart County,Cumberland County,01/24/20,3,Cumberland County,0,64,61,114,64,0
Henderson County,OUT_STATE,01/24/20,5,OUT_STATE,0,46,41,116,0,0
Henry Clay,Trinity (Louisville),01/24/20,10,Trinity (Louisville),0,61,51,117,248,0
